match_id,team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
3857280,781,1,101,593,516,482,21,0,2.378218864,2.378218864,0.634206061,1.744012803,4.017337587558281,7.746184425355498,-3.7288468377972155,23,36,65,61,48,46,0.11324851733333333,0.03977561967879486,3.87858347386172,35.64356435643564,0.6435643564356436,0.6039603960396039
3857280,2722,1,92,333,256,250,7,1,0.38336075199999997,0.38336075199999997,0.095262686,0.288098066,2.647881419938807,4.538420257180237,-1.8905388372414302,15,12,56,29,45,24,0.05476582171428571,0.028781319781943558,4.504504504504505,13.043478260869565,0.6086956521739131,0.31521739130434784
3857281,785,1,106,507,413,427,13,4,2.6102110830000003,2.6102110830000003,2.00992866,0.6002824229999999,2.844293793251974,6.580237656388305,-3.7359438631363315,26,26,61,55,53,38,0.20078546792307694,0.026832960313697866,5.128205128205128,24.528301886792452,0.5754716981132075,0.5188679245283019
3857281,1833,1,113,529,438,479,8,1,0.286795181,0.286795181,0.11959998,0.143303748,2.067759766487653,5.63945013062432,-3.571690364136667,23,16,74,35,53,26,0.035849397625,0.018298758995465954,4.3478260869565215,14.15929203539823,0.6548672566371682,0.30973451327433627
3857282,907,1,112,443,345,351,7,1,1.395336012,0.6118360119999999,,0.56927913,1.749252410866611,4.568946509061319,-2.819694098194708,15,10,60,30,50,26,0.199333716,0.015618325097023312,3.3860045146726865,8.928571428571429,0.5357142857142857,0.26785714285714285
3857282,1839,1,99,610,524,535,6,1,0.6024987946,0.6024987946,0.027433796,0.3740589486,2.4874106891673997,7.12487443161265,-4.63746374244525,19,31,77,37,50,25,0.10041646576666667,0.025125360496640402,3.114754098360656,31.313131313131315,0.7777777777777778,0.37373737373737376
3857283,782,1,99,703,609,608,10,0,0.642612082,0.642612082,0.210427695,0.43218438700000006,2.7605150339548894,6.821538480077084,-4.061023446122194,14,12,63,42,48,36,0.0642612082,0.02788399024196858,1.991465149359886,12.121212121212121,0.6363636363636364,0.42424242424242425
3857283,788,1,83,347,292,299,10,2,0.99110855,0.99110855,0.143015881,0.848092669,1.823621680383706,3.7021546618616785,-1.8785329814779728,17,21,48,23,37,20,0.099110855,0.02197134554679164,4.899135446685879,25.301204819277107,0.5783132530120482,0.27710843373493976
3857284,770,1,111,826,725,625,26,1,2.7680194209999995,1.9845194210000001,0.8477774920000001,1.136741929,2.6155988874039515,8.528433243577027,-5.912834356173075,19,19,88,59,57,42,0.10646228542307691,0.02356395394057614,2.3002421307506054,17.117117117117118,0.7927927927927928,0.5315315315315315
3857284,778,1,92,294,218,189,12,2,1.249259581,1.249259581,0.19768941,1.051570171,1.1771232658759347,2.589054207232645,-1.4119309413567103,13,13,38,23,34,22,0.10410496508333333,0.012794818107347117,4.421768707482993,14.130434782608695,0.41304347826086957,0.25
3857285,787,1,98,430,349,333,15,0,0.6914927064999999,0.6914927064999999,0.37067543,0.3208172765,1.192712721074531,5.164490630167357,-3.9717779090928262,14,19,54,44,42,31,0.04609951376666666,0.012170537970148275,3.255813953488372,19.387755102040817,0.5510204081632653,0.4489795918367347
3857285,941,1,102,491,400,348,10,2,1.1238838,1.1238838,0.767126627,0.35675717300000004,2.1711043875839477,5.449280253184037,-3.2781758656000894,14,15,65,46,53,36,0.11238838,0.021285337133175958,2.8513238289205702,14.705882352941178,0.6372549019607843,0.45098039215686275
3857286,3565,1,91,519,434,408,6,2,1.1540112984,0.37051129839999997,0.1743382444,0.19617305399999999,1.0785584710778333,4.0199366820831175,-2.941378211005284,11,11,55,40,49,34,0.19233521639999998,0.0118522908909652,2.119460500963391,12.087912087912088,0.6043956043956044,0.43956043956043955
3857286,3566,1,101,468,385,386,5,0,0.30418895050000005,0.30418895050000005,,0.297971631,1.2804241374207885,3.839638261172942,-2.5592141237521533,11,7,47,15,38,13,0.06083779010000001,0.01267746670713652,2.3504273504273505,6.9306930693069315,0.46534653465346537,0.1485148514851485
3857287,783,1,97,570,476,453,10,0,0.417294332,0.417294332,0.121534327,0.295760005,2.211900067619111,5.797090967613046,-3.5851908999939353,17,10,80,39,47,33,0.0417294332,0.022803093480609393,2.982456140350877,10.309278350515463,0.8247422680412371,0.4020618556701031
3857287,791,1,97,463,353,386,7,0,0.492992523,0.492992523,,0.492992523,1.0505553968340708,4.424543959598043,-3.3739885627639725,12,12,82,28,52,19,0.07042750328571429,0.010830468008598668,2.591792656587473,12.371134020618557,0.845360824742268,0.28865979381443296
3857288,777,1,132,548,414,418,14,0,1.052170345,1.052170345,0.388150455,0.6194000669999999,2.537723858064099,5.888818452504495,-3.3510945944403954,20,16,81,51,60,39,0.07515502464285714,0.019225180742909843,3.64963503649635,12.121212121212121,0.6136363636363636,0.38636363636363635
3857288,792,1,118,404,279,270,9,1,0.3590377687,0.3590377687,0.035070673,0.3239670957,1.5963857935352102,3.9076953774076806,-2.3113095838724695,11,10,76,31,56,26,0.03989308541111111,0.013528693165552629,2.722772277227723,8.47457627118644,0.6440677966101694,0.2627118644067797
3857289,779,1,101,567,478,463,5,2,0.325204139,0.325204139,,0.325204139,1.8887012451934067,5.231404503313204,-3.342703258119797,9,22,67,22,43,19,0.0650408278,0.01870001232864759,1.5873015873015872,21.782178217821784,0.6633663366336634,0.21782178217821782
3857289,794,1,93,403,308,314,4,0,0.20639165169999998,0.20639165169999998,,0.20639165169999998,0.6172637086177101,3.124113900334338,-2.5068501917166275,10,10,61,23,45,20,0.051597912924999996,0.006637244178685054,2.481389578163772,10.75268817204301,0.6559139784946236,0.24731182795698925
3857290,773,1,100,549,462,406,7,1,1.426544536,1.426544536,0.060987956,1.16775708,2.8147456191106897,5.92603783179645,-3.111292212685761,21,24,71,36,54,33,0.20379207657142856,0.028147456191106895,3.825136612021858,24.0,0.71,0.36
3857290,2722,1,96,533,440,436,8,0,0.6130733495,0.6130733495,0.2792996465,0.333773703,1.4861891653179464,4.599221305798336,-3.1130321404803896,21,14,71,37,48,29,0.0766341686875,0.01548113713872861,3.9399624765478425,14.583333333333334,0.7395833333333334,0.3854166666666667
3857291,772,1,93,1090,1010,963,17,7,2.761923473,1.978423473,0.78841618,1.026341583,2.4818576065648843,11.052403068921713,-8.570545462356826,14,37,99,51,56,39,0.16246608664705883,0.02668664093080521,1.2844036697247707,39.784946236559136,1.064516129032258,0.5483870967741935
