match_id,team_id,opponent_id,classic_opponent_passes,classic_defensive_actions,ppda_classic,pressure_events_added,augmented_defensive_actions,ppda_pressure_augmented,classic_missing_reason,augmented_missing_reason,spatial_frame_version,ppda_definition_version
3857300,799,779,165,27,6.111111111111111,94,121,1.3636363636363635,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857299,791,4885,80,20,4.0,84,104,0.7692307692307693,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857299,4885,791,146,14,10.428571428571429,61,75,1.9466666666666668,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857293,4885,783,137,30,4.566666666666666,77,107,1.280373831775701,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857293,783,4885,123,22,5.590909090909091,67,89,1.3820224719101124,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857291,772,795,63,18,3.5,56,74,0.8513513513513513,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857291,795,772,269,23,11.695652173913043,78,101,2.6633663366336635,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857281,785,1833,172,24,7.166666666666667,103,127,1.3543307086614174,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857281,1833,785,127,14,9.071428571428571,84,98,1.2959183673469388,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857280,2722,781,176,24,7.333333333333333,78,102,1.7254901960784315,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857280,781,2722,81,22,3.6818181818181817,81,103,0.7864077669902912,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857279,771,792,145,17,8.529411764705882,58,75,1.9333333333333333,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857279,792,771,187,17,11.0,56,73,2.5616438356164384,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857262,791,780,199,12,16.583333333333332,66,78,2.551282051282051,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857262,780,791,108,14,7.714285714285714,55,69,1.565217391304348,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
